series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	404	Kenya	5	14	Eastern Africa	Country	37.86096816	0.534797278	KEN	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	408	Democratic People's Republic of Korea	4	30	Eastern Asia	Country	127.1803633	40.1462645	PRK	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	414	Kuwait	4	145	Western Asia	Country	47.49305029	29.53949468	KWT	1	1	[2012, 2015, 2016, 2017]	2012	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	417	Kyrgyzstan	4	143	Central Asia	Country	74.52324839	41.46204516	KGZ	1	1	[2011, 2012, 2013, 2014, 2015, 2016, 2017]	2011	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	418	Lao People's Democratic Republic	4	35	South-Eastern Asia	Country	101.9901968	20.27482773	LAO	1	1	[2007, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	419	Latin America and the Caribbean	3	19	Americas	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	420											[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	422	Lebanon	4	145	Western Asia	Country	35.89391711	33.92152458	LBN	1	1	[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2009	2017	8
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	426	Lesotho	5	18	Southern Africa	Country	28.25362195	-29.58041814	LSO	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	428	Latvia	4	154	Northern Europe	Country	26.42461876	56.64196636	LVA	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	430	Liberia	5	11	Western Africa	Country	-9.311879038	6.448381009	LBR	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	432	Landlocked developing countries (LLDCs)	1			Group						[2014, 2015, 2016, 2017]	2014	2017	4
