series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2007	2017	10	NUMBER	Number	G	Global					28.0	10.0	9.0	59.0	134.0	57.0		294.0	507.0	489.0	386.0	386.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2011]	2011	2011	1	NUMBER	Number	G	Global									152.0							152.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	15	NUMBER	Number	G	Global	10.0	9.0	20.0	16.0	18.0	25.0	33.0	31.0	11.0	16.0	21.0	33.0	35.0	36.0	21.0	21.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	360	Indonesia	4	35	South-Eastern Asia	Country	113.9174	-0.994582204	IDN	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015]	2007	2015	8	NUMBER	Number	G	Global					574.0	607.0	275.0	143.0		292.0	158.0	605.0	441.0			441.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	372	Ireland	4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2009	2016	8	NUMBER	Number	G	Global							66.0	78.0	57.0	48.0	44.0	46.0	78.0	95.0		95.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	376	Israel	4	145	Western Asia	Country	34.62277992	31.06164552	ISR	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2009	2016	8	NUMBER	Number	G	Global							67.0	78.0	26.0	86.0	82.0	79.0	47.0	47.0		47.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	380	Italy	4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2007	2016	10	NUMBER	Number	G	Global					715.0	628.0	381.0	96.0	91.0	435.0	593.0	597.0	609.0	663.0		663.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	384	Côte d'Ivoire	5	11	Western Africa	Country	-5.552690016	7.62211586	CIV	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2008, 2014, 2015, 2016, 2017]	2008	2017	5	NUMBER	Number	G	Global						70.0						15.0	10.0	16.0	7.0	7.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	388	Jamaica	5	29	Caribbean	Country	-77.31068409	18.15616857	JAM	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013]	2007	2013	7	NUMBER	Number	G	Global					1.0	3.0	0.0	7.0	7.0	24.0	5.0					5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	392	Japan	4	30	Eastern Asia	Country	139.2716103	36.6554539	JPN	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2007	2016	10	NUMBER	Number	G	Global					43.0	36.0	17.0	43.0	45.0	27.0	17.0	25.0	54.0	50.0		50.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
