series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	educationLevel_code	educationLevel_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1			ISCED11_3	Upper secondary	2018	67.61208					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	292	Gibraltar	4	39	Southern Europe	Country	-5.347561686	36.13895036	GIB	0	1			ISCED11_1	Primary	2017	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	292	Gibraltar	4	39	Southern Europe	Country	-5.347561686	36.13895036	GIB	0	1			ISCED11_2	Lower secondary	2017	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	292	Gibraltar	4	39	Southern Europe	Country	-5.347561686	36.13895036	GIB	0	1			ISCED11_3	Upper secondary	2017	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	30	Eastern Asia	3	142	Asia	Region								ISCED11_2	Lower secondary	2018	97.3268338035767					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	30	Eastern Asia	3	142	Asia	Region								ISCED11_1	Primary	2018	96.8027531121801					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	30	Eastern Asia	3	142	Asia	Region								ISCED11_3	Upper secondary	2018	96.7212002870643					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1			ISCED11_1	Primary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1			ISCED11_2	Lower secondary	2018	95.83333					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1			ISCED11_3	Upper secondary	2018	95.83333					UIS		C	Country data	PT	Percentage	G	Global			
